,noise_level,order,ratio,threshold_approx_uniq,threshold_exact_uniq,threshold_approx_nonuniq,threshold_exact_nonuniq,sv_max,sv_min,C,C1,C2
0,0.0,2.0,0.35048113188541835,0.11673220048088194,0.11455771151313127,0.0002548533625071839,0.006145790207802804,1601.9693955390867,561.4600469943385,800.9846977695433,2402.95409330863,280.73002349716927
1,0.0,4.0,0.3647261861565154,0.11680768684100179,0.11680810256711613,5.2000342429574866e-05,5.088347349124265e-05,1505.5971582122193,549.1307094028305,800.9846977695433,2402.95409330863,280.73002349716927
2,0.0,6.0,0.38039391580182796,0.11682309347449173,0.11682687490980627,1.0611875576946103e-05,4.541046076070912e-07,1411.6160767920474,536.9701670597408,800.9846977695433,2402.95409330863,280.73002349716927
3,0.0,8.0,0.39768159417717824,0.1168262377376354,0.11682704239716153,2.1656706015961077e-06,4.2029191846430035e-09,1319.9688148251255,524.9273025438165,800.9846977695433,2402.95409330863,280.73002349716927
4,0.0,10.0,0.41684474600558274,0.11682687942616653,0.11682704394699557,4.419728303352247e-07,3.978379432003401e-11,1230.5957753238185,512.9673834004003,800.9846977695433,2402.95409330863,280.73002349716927
5,0.0,12.0,0.43818795468177446,0.11682701038310021,0.11682704396166375,9.019850507359158e-08,3.823771600147347e-13,1143.4391446517477,501.041260098027,800.9846977695433,2402.95409330863,280.73002349716927
6,1e-08,2.0,0.3504811317946752,0.11673219257729002,0.1145576888465635,0.00025487452612088187,0.006145852013843544,1601.9693953972287,561.4600467992523,800.9846976986144,2402.954093095843,280.73002339962613
7,1e-08,4.0,0.3647261862307683,0.11680764826296118,0.11680806844375413,5.210390316754389e-05,5.097506621924398e-05,1505.5971579793666,549.130709429698,800.9846976986144,2402.954093095843,280.73002339962613
8,1e-08,6.0,0.3803939155335294,0.11682290868718762,0.11682683306579174,1.110818091302006e-05,5.664241219664554e-07,1411.616076673081,536.9701666357521,800.9846976986144,2402.954093095843,280.73002339962613
9,1e-08,8.0,0.3976815942236448,0.11682557972360187,0.11682699439519706,3.9331487621759696e-06,1.3306367467395403e-07,1319.9688147845832,524.9273025890279,800.9846976986144,2402.954093095843,280.73002339962613
10,1e-08,10.0,0.41684474629423646,0.11682581065104083,0.11682699143475896,3.3128297845704927e-06,1.4101595129320893e-07,1230.5957751958908,512.9673837022904,800.9846976986144,2402.954093095843,280.73002339962613
11,1e-08,12.0,0.43818795469650157,0.11682582121472058,0.11682698770062308,3.2844535752077013e-06,1.510465214056415e-07,1143.4391444524274,501.0412600275268,800.9846976986144,2402.954093095843,280.73002339962613
12,1e-05,2.0,0.3504810689726444,0.11672497345442413,0.11453617349785641,0.0002742237971618614,0.006204544704588116,1601.96971173201,561.4600570296338,800.984855866005,2402.954567598015,280.7300285148169
13,1e-05,4.0,0.3647259437494419,0.1167846699952731,0.11677507930444887,0.00011378509005135995,0.0001395561285036828,1505.597547806794,549.1304865306784,800.984855866005,2402.954567598015,280.7300285148169
14,1e-05,6.0,0.380393593637439,0.11678914541872418,0.11678647731610187,0.00010175983549316868,0.0001089288566720752,1411.6165619405858,536.969896834706,800.984855866005,2402.954567598015,280.7300285148169
15,1e-05,8.0,0.3976815852046633,0.11678934334737659,0.11678133796572764,0.0001012280193172674,0.00012273834878442642,1319.9693840224609,524.9275170596752,800.984855866005,2402.954567598015,280.7300285148169
16,1e-05,10.0,0.4168450799981221,0.11678935161352948,0.11677708219946534,0.00010120580893735188,0.00013417402533401083,1230.596176294224,512.967961552749,800.984855866005,2402.954567598015,280.7300285148169
17,1e-05,12.0,0.4381878351574606,0.11678935195784841,0.11677352706235233,0.00010120488378459095,0.0001437273074397809,1143.4394555789652,501.0412596737721,800.984855866005,2402.954567598015,280.7300285148169
18,0.01,2.0,0.35241809905422805,0.11625007325319793,0.09189558668618872,0.0032967265830347644,0.07558514710326311,1601.3755043430908,564.3537111125978,800.6877521715454,2402.063256514636,282.1768555562989
19,0.01,4.0,0.3684055002162596,0.11625359952693126,0.08362158491413374,0.003287176558600481,0.10340762496254204,1505.155566720837,554.5075894610777,800.6877521715454,2402.063256514636,282.1768555562989
20,0.01,6.0,0.3851294078591613,0.11625374661581651,0.07674584058982743,0.0032867782106549186,0.1279960438343507,1411.1005809321316,543.4563311641103,800.6877521715454,2402.063256514636,282.1768555562989
21,0.01,8.0,0.40310014206904565,0.11625375274235378,0.0716020269287677,0.0032867616186997646,0.1473377841217311,1319.8044896253925,532.01337727136,800.6877521715454,2402.063256514636,282.1768555562989
22,0.01,10.0,0.42406472987973054,0.11625375299752051,0.06750923028801113,0.0032867609276544365,0.16334713780992677,1230.4398878116638,521.7861586580991,800.6877521715454,2402.063256514636,282.1768555562989
23,0.01,12.0,0.4457787123141469,0.11625375300814803,0.06411581837416759,0.0032867608988728695,0.1770604483680218,1143.1925551918077,509.61090518052333,800.6877521715454,2402.063256514636,282.1768555562989
